curbweight,highwaympg,citympg,carwidth,horsepower,enginesize,carlength,peakrpm,wheelbase,boreratio,price
2548,27.0,21.0,64.1,111.0,130.0,168.8,5000.0,93.7,3.47,13495.0
2548,27.0,21.0,64.1,111.0,130.0,168.8,5000.0,93.7,3.47,16500.0
2823,26.0,19.0,65.5,154.0,152.0,171.2,5000.0,94.5,2.68,16500.0
2337,30.0,24.0,66.2,102.0,109.0,176.6,5500.0,99.8,3.19,13950.0
2824,23.0,18.0,66.4,115.0,136.0,176.6,5500.0,99.4,3.19,17450.0
2507,25.0,19.0,66.3,110.0,136.0,177.3,5500.0,99.8,3.19,15250.0
2844,25.0,19.0,68.64,110.0,136.0,188.8,5500.0,105.8,3.19,17710.0
2954,25.0,19.0,68.64,110.0,136.0,188.8,5500.0,105.8,3.19,18920.0
3086,23.0,17.0,68.64,140.0,131.0,188.8,5500.0,105.8,3.13,22563.0
3053,23.0,17.0,67.9,160.0,131.0,178.2,5500.0,99.5,3.13,17859.167
2395,29.0,23.0,64.8,101.0,108.0,176.8,5780.0,101.2,3.5,16430.0
2395,29.0,23.0,64.8,101.0,108.0,176.8,5780.0,101.2,3.5,16925.0
2710,28.0,21.0,64.8,121.0,164.0,176.8,4500.0,101.2,3.31,20970.0
2765,28.0,21.0,64.8,121.0,164.0,176.8,4500.0,101.2,3.31,21105.0
3055,25.0,20.0,66.9,121.0,164.0,188.8,4500.0,103.5,3.31,22563.0
3230,23.0,17.0,66.9,160.0,181.0,188.8,5400.0,103.5,3.62,22563.0
3380,23.0,17.0,67.9,160.0,181.0,188.8,5400.0,103.5,3.62,22563.0
3505,23.0,17.0,68.64,160.0,181.0,188.8,5400.0,107.9,3.62,22563.0
1488,38.0,31.599999999999994,63.8,68.0,91.0,157.3,5100.0,93.7,2.91,6657.0
1874,38.0,31.599999999999994,63.8,70.0,91.0,157.3,5400.0,94.5,3.03,6657.0
1909,38.0,31.599999999999994,63.8,70.0,91.0,158.8,5400.0,94.5,3.03,6657.0
1876,38.0,31.599999999999994,63.8,68.0,91.0,157.3,5500.0,93.7,2.97,6657.0
1876,38.0,31.0,63.8,68.0,91.0,157.3,5500.0,93.7,2.97,6657.0
2128,30.0,24.0,63.8,102.0,98.0,157.3,5500.0,93.7,3.03,7957.0
1967,38.0,31.0,63.8,68.0,91.0,157.3,5500.0,93.7,2.97,6657.0
1989,38.0,31.0,63.8,68.0,91.0,157.3,5500.0,93.7,2.97,6692.0
1989,38.0,31.0,63.8,68.0,91.0,157.3,5500.0,93.7,2.97,7609.0
2191,30.0,24.0,63.8,102.0,98.0,157.3,5500.0,93.7,3.03,8558.0
2535,30.0,24.0,64.6,88.0,122.0,174.6,5000.0,103.3,3.34,8921.0
2811,24.0,19.0,66.3,145.0,156.0,173.2,5000.0,95.9,3.6,12964.0
1713,38.0,31.599999999999994,63.9,68.0,92.0,157.3,4800.0,93.7,2.91,6657.0
1819,38.0,31.0,63.9,76.0,92.0,157.3,5780.0,93.7,2.91,6855.0
1837,38.0,31.599999999999994,64.0,68.0,91.0,157.3,5500.0,93.7,2.91,6657.0
1940,34.0,30.0,64.0,76.0,92.0,157.3,5780.0,93.7,2.91,6657.0
1956,34.0,30.0,64.0,76.0,92.0,157.3,5780.0,93.7,2.91,7129.0
2010,34.0,30.0,64.0,76.0,92.0,163.4,5780.0,96.5,2.91,7295.0
2024,34.0,30.0,63.9,76.0,92.0,157.3,5780.0,96.5,2.92,7295.0
2236,33.0,27.0,65.2,86.0,110.0,167.5,5780.0,96.5,3.15,7895.0
2289,33.0,27.0,65.2,86.0,110.0,167.5,5780.0,96.5,3.15,9095.0
2304,33.0,27.0,65.2,86.0,110.0,175.4,5780.0,96.5,3.15,8845.0
2372,33.0,27.0,63.8,86.0,110.0,175.4,5780.0,96.5,3.15,10295.0
2465,28.0,24.0,65.2,101.0,110.0,175.4,5780.0,96.5,3.15,12945.0
2293,31.0,25.0,66.0,100.0,110.0,169.1,5500.0,96.5,3.15,10345.0
2337,29.0,24.0,63.8,78.0,111.0,170.7,4800.0,94.3,3.31,6785.0
1874,38.0,31.599999999999994,63.8,70.0,91.0,157.3,5400.0,94.5,3.03,8916.5
1909,38.0,31.599999999999994,63.8,70.0,91.0,157.3,5400.0,94.5,3.03,8916.5
2734,29.0,24.0,65.2,90.0,119.0,172.6,5000.0,96.0,3.43,11048.0
4066,23.0,17.0,68.64,160.0,181.0,188.8,4750.0,107.9,3.63,22563.0
4066,23.0,17.0,68.64,160.0,181.0,188.8,4750.0,107.9,3.63,22563.0
3950,23.0,17.0,68.64,160.0,181.0,188.8,5000.0,102.0,3.54,22563.0
1890,31.0,30.0,64.2,68.0,91.0,159.1,5000.0,93.7,3.03,6657.0
1900,38.0,31.0,64.2,68.0,91.0,159.1,5000.0,93.7,3.03,6657.0
1905,38.0,31.0,64.2,68.0,91.0,159.1,5000.0,93.7,3.03,6795.0
1945,38.0,31.0,64.2,68.0,91.0,166.8,5000.0,93.7,3.03,6695.0
1950,38.0,31.0,64.2,68.0,91.0,166.8,5000.0,93.7,3.08,7395.0
2380,23.0,17.0,65.7,101.0,91.0,169.0,5780.0,95.3,3.33,10945.0
2380,23.0,17.0,65.7,101.0,91.0,169.0,5780.0,95.3,3.33,11845.0
2385,23.0,17.0,65.7,101.0,91.0,169.0,5780.0,95.3,3.33,13645.0
2500,23.0,17.0,65.7,135.0,91.0,169.0,5780.0,95.3,3.33,15645.0
2385,32.0,26.0,66.5,84.0,122.0,177.8,4800.0,98.8,3.39,8845.0
2410,32.0,26.0,66.5,84.0,122.0,177.8,4800.0,98.8,3.39,8495.0
2385,32.0,26.0,66.5,84.0,122.0,177.8,4800.0,98.8,3.39,10595.0
2410,32.0,26.0,66.5,84.0,122.0,177.8,4800.0,98.8,3.39,10245.0
2443,38.0,31.599999999999994,66.5,68.0,122.0,177.8,4650.0,98.8,3.39,10795.0
2425,32.0,26.0,66.5,84.0,122.0,177.8,4800.0,98.8,3.39,11245.0
2670,27.0,19.0,66.1,120.0,140.0,175.0,5000.0,104.9,3.76,18280.0
2700,38.0,31.0,66.1,72.0,134.0,175.0,4500.0,104.9,3.43,18344.0
3515,25.0,22.0,68.64,123.0,181.0,188.8,4500.0,107.9,3.58,22563.0
3750,25.0,22.0,68.64,123.0,181.0,188.8,4500.0,107.9,3.58,22563.0
3495,25.0,22.0,68.64,123.0,181.0,187.5,4500.0,106.7,3.58,22563.0
3770,25.0,22.0,68.64,123.0,181.0,188.8,4500.0,107.9,3.58,22563.0
3740,23.0,17.0,68.64,155.0,181.0,188.8,4750.0,107.9,3.46,22563.0
3685,23.0,17.0,68.64,155.0,181.0,180.3,4750.0,96.6,3.46,22563.0
3900,23.0,17.0,68.64,160.0,181.0,188.8,4500.0,107.9,3.8,22563.0
3715,23.0,17.0,68.64,160.0,181.0,188.8,4500.0,107.9,3.8,22563.0
2910,24.0,19.0,68.0,160.0,140.0,178.4,5000.0,102.7,3.78,16503.0
1918,38.0,31.599999999999994,64.4,68.0,92.0,157.3,5500.0,93.7,2.97,6657.0
1944,38.0,31.0,64.4,68.0,92.0,157.3,5500.0,93.7,2.97,6657.0
2004,38.0,31.0,64.4,68.0,92.0,157.3,5500.0,93.7,2.97,6669.0
2145,30.0,24.0,63.8,102.0,98.0,157.3,5500.0,93.7,3.03,7689.0
2370,30.0,23.0,65.4,116.0,110.0,173.0,5500.0,96.3,3.17,9959.0
2328,32.0,25.0,65.4,88.0,122.0,173.0,5000.0,96.3,3.35,8499.0
2833,24.0,19.0,66.3,145.0,156.0,173.2,5000.0,95.9,3.58,12629.0
2921,24.0,19.0,66.3,145.0,156.0,173.2,5000.0,95.9,3.59,14869.0
2926,24.0,19.0,66.3,145.0,156.0,173.2,5000.0,95.9,3.59,14489.0
2365,32.0,25.0,65.4,88.0,122.0,172.4,5000.0,96.3,3.35,6989.0
2405,32.0,25.0,65.4,88.0,122.0,172.4,5000.0,96.3,3.35,8189.0
2403,30.0,23.0,65.4,116.0,110.0,172.4,5500.0,96.3,3.17,9279.0
2403,30.0,23.0,65.4,116.0,110.0,172.4,5500.0,96.3,3.17,9279.0
1889,37.0,31.0,63.8,69.0,97.0,165.3,5200.0,94.5,3.15,6657.0
2017,38.0,31.599999999999994,63.8,68.0,103.0,165.3,4800.0,94.5,2.99,7099.0
1918,37.0,31.0,63.8,69.0,97.0,165.3,5200.0,94.5,3.15,6657.0
1938,37.0,31.0,63.8,69.0,97.0,165.3,5200.0,94.5,3.15,6849.0
2024,37.0,31.0,63.8,69.0,97.0,170.2,5200.0,94.5,3.15,7349.0
1951,37.0,31.0,63.8,69.0,97.0,165.3,5200.0,94.5,3.15,7299.0
2028,37.0,31.0,63.8,69.0,97.0,165.6,5200.0,94.5,3.15,7799.0
1971,37.0,31.0,63.8,69.0,97.0,165.3,5200.0,94.5,3.15,7499.0
2037,37.0,31.0,63.8,69.0,97.0,170.2,5200.0,94.5,3.15,7999.0
2008,37.0,31.0,63.8,69.0,97.0,162.4,5200.0,95.1,3.15,8249.0
2324,34.0,27.0,65.2,97.0,120.0,173.4,5200.0,97.2,3.33,8949.0
2302,34.0,27.0,65.2,97.0,120.0,173.4,5200.0,97.2,3.33,9549.0
3095,23.0,17.0,66.5,152.0,181.0,181.7,5200.0,100.4,3.43,13499.0
3296,23.0,17.0,66.5,152.0,181.0,184.6,5200.0,100.4,3.43,14399.0
3060,25.0,19.0,66.5,152.0,181.0,184.6,5200.0,100.4,3.43,13499.0
3071,25.0,19.0,67.9,160.0,181.0,170.7,5200.0,93.7,3.43,17199.0
3139,23.0,17.0,67.9,160.0,181.0,170.7,5200.0,93.7,3.43,19699.0
3139,25.0,19.0,67.9,160.0,181.0,178.5,5200.0,99.2,3.43,18399.0
3020,24.0,19.0,68.4,97.0,120.0,186.7,5000.0,107.9,3.46,11900.0
3197,33.0,28.0,68.4,95.0,152.0,186.7,4500.0,107.9,3.7,13200.0
3230,24.0,19.0,68.4,97.0,120.0,188.8,5000.0,107.9,3.46,12440.0
3430,25.0,25.0,68.4,95.0,152.0,188.8,4500.0,107.9,3.7,13860.0
3075,24.0,19.0,68.4,95.0,120.0,186.7,5000.0,107.9,3.46,15580.0
3252,33.0,28.0,68.4,95.0,152.0,186.7,4500.0,107.9,3.7,16900.0
3285,24.0,19.0,68.4,95.0,120.0,188.8,5000.0,107.9,3.46,16695.0
3485,25.0,25.0,68.4,95.0,152.0,188.8,4500.0,107.9,3.7,17075.0
3075,24.0,19.0,68.4,97.0,120.0,186.7,5000.0,107.9,3.46,16630.0
3252,33.0,28.0,68.4,95.0,152.0,186.7,4500.0,107.9,3.7,17950.0
3130,24.0,18.0,68.3,142.0,134.0,186.7,5600.0,107.9,3.61,18150.0
1918,38.0,31.599999999999994,63.8,68.0,91.0,157.3,5500.0,93.7,2.97,6657.0
2128,30.0,24.0,63.8,102.0,98.0,157.3,5500.0,93.7,3.03,7957.0
1967,38.0,31.0,63.8,68.0,91.0,157.3,5500.0,93.7,2.97,6657.0
1989,38.0,31.0,63.8,68.0,91.0,167.3,5500.0,93.7,2.97,6692.0
2191,38.0,31.0,63.8,68.0,98.0,167.3,5500.0,93.7,2.97,7609.0
2535,30.0,24.0,64.6,88.0,122.0,174.6,5000.0,103.3,3.35,8921.0
